,0,coordinates,latitude,longitude,lat_long,coord_tuple
0,ANG MO KIO AVE 10,"{'address_components': [{'long_name': '10', 'short_name': '10', 'types': ['street_number']}, {'long_name': 'Ang Mo Kio Avenue 8', 'short_name': 'Ang Mo Kio Ave 8', 'types': ['route']}, {'long_name': 'Ang Mo Kio', 'short_name': 'Ang Mo Kio', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '567727', 'short_name': '567727', 'types': ['postal_code']}], 'formatted_address': '10 Ang Mo Kio Ave 8, Singapore 567727', 'geometry': {'bounds': {'northeast': {'lat': 1.3605888, 'lng': 103.8530469}, 'southwest': {'lat': 1.3603861, 'lng': 103.8528443}}, 'location': {'lat': 1.3604923, 'lng': 103.8529266}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.362116430291502, 'lng': 103.8542228302915}, 'southwest': {'lat': 1.359418469708498, 'lng': 103.8515248697085}}}, 'place_id': 'ChIJE0JgZxwX2jERf6SwyM_nzVA', 'types': ['premise']}",1.3604923,103.8529266,1.3604923%2C103.8529266,"[None, None]"
1,ANG MO KIO AVE 4,"{'address_components': [{'long_name': 'Ang Mo Kio Avenue 4', 'short_name': 'Ang Mo Kio Ave 4', 'types': ['route']}, {'long_name': 'Ang Mo Kio', 'short_name': 'Ang Mo Kio', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Ang Mo Kio Ave 4, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3840039, 'lng': 103.8404655}, 'southwest': {'lat': 1.3687579, 'lng': 103.8357554}}, 'location': {'lat': 1.3762852, 'lng': 103.839342}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3840039, 'lng': 103.8404655}, 'southwest': {'lat': 1.3687579, 'lng': 103.8357554}}}, 'place_id': 'ChIJ-UlnbsQW2jERfrDN97fMy7I', 'types': ['route']}",1.3762852,103.839342,1.3762852%2C103.839342,"[None, None]"
2,ANG MO KIO AVE 5,"{'address_components': [{'long_name': 'Jubilee Square', 'short_name': 'Jubilee Square', 'types': ['premise']}, {'long_name': '#01-05', 'short_name': '#01-05', 'types': ['street_number']}, {'long_name': 'Ang Mo Kio Avenue 8', 'short_name': 'Ang Mo Kio Ave 8', 'types': ['route']}, {'long_name': 'Ang Mo Kio', 'short_name': 'Ang Mo Kio', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '569814', 'short_name': '569814', 'types': ['postal_code']}], 'formatted_address': '#01-05 Ang Mo Kio Ave 8, Jubilee Square, Singapore 569814', 'geometry': {'location': {'lat': 1.3717963, 'lng': 103.8477804}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.373145280291502, 'lng': 103.8491293802915}, 'southwest': {'lat': 1.370447319708498, 'lng': 103.8464314197085}}}, 'place_id': 'ChIJvwncTOYW2jERf27JDl_EAOI', 'types': ['subpremise']}",1.3717963,103.8477804,1.3717963%2C103.8477804,"[None, None]"
3,ANG MO KIO AVE 1,"{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Ang Mo Kio Avenue 8', 'short_name': 'Ang Mo Kio Ave 8', 'types': ['route']}, {'long_name': 'Ang Mo Kio', 'short_name': 'Ang Mo Kio', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '569804', 'short_name': '569804', 'types': ['postal_code']}], 'formatted_address': '1 Ang Mo Kio Ave 8, Singapore 569804', 'geometry': {'location': {'lat': 1.3743332, 'lng': 103.8479021}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.375683530291502, 'lng': 103.8492617302915}, 'southwest': {'lat': 1.372985569708498, 'lng': 103.8465637697085}}}, 'place_id': 'ChIJ9aBWLOYW2jERwgqeND9Y5Hg', 'plus_code': {'compound_code': '9RFX+P5 Singapore', 'global_code': '6PH59RFX+P5'}, 'types': ['street_address']}",1.3743332,103.8479021,1.3743332%2C103.8479021,"[None, None]"
4,ANG MO KIO AVE 3,"{'address_components': [{'long_name': '03-04/05', 'short_name': '03-04/05', 'types': ['street_number']}, {'long_name': 'Ang Mo Kio Avenue 8', 'short_name': 'Ang Mo Kio Ave 8', 'types': ['route']}, {'long_name': 'Ang Mo Kio', 'short_name': 'Ang Mo Kio', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': '03-04/05 Ang Mo Kio Ave 8, Singapore', 'geometry': {'location': {'lat': 1.3716951, 'lng': 103.8478861}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.373108080291502, 'lng': 103.8493328302915}, 'southwest': {'lat': 1.370410119708498, 'lng': 103.8466348697085}}}, 'place_id': 'ChIJURF1TeYW2jERzOfCh0G5ryg', 'types': ['subpremise']}",1.3716951,103.8478861,1.3716951%2C103.8478861,"[None, None]"
5,ANG MO KIO AVE 9,"{'address_components': [{'long_name': '9', 'short_name': '9', 'types': ['street_number']}, {'long_name': 'Ang Mo Kio Avenue 8', 'short_name': 'Ang Mo Kio Ave 8', 'types': ['route']}, {'long_name': 'Ang Mo Kio', 'short_name': 'Ang Mo Kio', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': '9 Ang Mo Kio Ave 8, Singapore', 'geometry': {'location': {'lat': 1.3756606, 'lng': 103.8477779}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': 1.377009580291502, 'lng': 103.8491268802915}, 'southwest': {'lat': 1.374311619708498, 'lng': 103.8464289197085}}}, 'place_id': 'Eh05IEFuZyBNbyBLaW8gQXZlIDgsIFNpbmdhcG9yZSIwEi4KFAoSCVvJCv_oFtoxERjjpp6puk4XEAkqFAoSCZUVRfDmFtoxEQMs5DaEgfBi', 'types': ['street_address']}",1.3756606,103.8477779,1.3756606%2C103.8477779,"[None, None]"
6,ANG MO KIO AVE 8,"{'address_components': [{'long_name': '8', 'short_name': '8', 'types': ['street_number']}, {'long_name': 'Ang Mo Kio Avenue 8', 'short_name': 'Ang Mo Kio Ave 8', 'types': ['route']}, {'long_name': 'Ang Mo Kio', 'short_name': 'Ang Mo Kio', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': '8 Ang Mo Kio Ave 8, Singapore', 'geometry': {'location': {'lat': 1.3756606, 'lng': 103.8477779}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': 1.377009580291502, 'lng': 103.8491268802915}, 'southwest': {'lat': 1.374311619708498, 'lng': 103.8464289197085}}}, 'place_id': 'Eh04IEFuZyBNbyBLaW8gQXZlIDgsIFNpbmdhcG9yZSIwEi4KFAoSCVvJCv_oFtoxERjjpp6puk4XEAgqFAoSCZUVRfDmFtoxEQMs5DaEgfBi', 'types': ['street_address']}",1.3756606,103.8477779,1.3756606%2C103.8477779,"[None, None]"
7,ANG MO KIO AVE 6,"{'address_components': [{'long_name': '6', 'short_name': '6', 'types': ['street_number']}, {'long_name': 'Ang Mo Kio Avenue 8', 'short_name': 'Ang Mo Kio Ave 8', 'types': ['route']}, {'long_name': 'Ang Mo Kio', 'short_name': 'Ang Mo Kio', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '569805', 'short_name': '569805', 'types': ['postal_code']}], 'formatted_address': '6 Ang Mo Kio Ave 8, Singapore 569805', 'geometry': {'location': {'lat': 1.3726167, 'lng': 103.848077}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.373967430291502, 'lng': 103.8494617302915}, 'southwest': {'lat': 1.371269469708498, 'lng': 103.8467637697085}}}, 'place_id': 'ChIJl8R8MeYW2jEROBUX5YCkg-Y', 'plus_code': {'compound_code': '9RFX+26 Singapore', 'global_code': '6PH59RFX+26'}, 'types': ['street_address']}",1.3726167,103.848077,1.3726167%2C103.848077,"[None, None]"
8,ANG MO KIO ST 52,"{'address_components': [{'long_name': 'Ang Mo Kio Street 52', 'short_name': 'Ang Mo Kio Street 52', 'types': ['route']}, {'long_name': 'Ang Mo Kio', 'short_name': 'Ang Mo Kio', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Ang Mo Kio Street 52, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.37337, 'lng': 103.8564085}, 'southwest': {'lat': 1.3718726, 'lng': 103.8506109}}, 'location': {'lat': 1.3725681, 'lng': 103.8533043}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.373970280291502, 'lng': 103.8564085}, 'southwest': {'lat': 1.371272319708498, 'lng': 103.8506109}}}, 'place_id': 'ChIJCz0GduUW2jERGxSTvQyff6c', 'types': ['route']}",1.3725681,103.8533043,1.3725681%2C103.8533043,"[None, None]"
9,BEDOK NTH AVE 4,"{'address_components': [{'long_name': 'Bedok North Avenue 4', 'short_name': 'Bedok North Ave 4', 'types': ['route']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok North Ave 4, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3388429, 'lng': 103.9513808}, 'southwest': {'lat': 1.3318561, 'lng': 103.9361518}}, 'location': {'lat': 1.3349612, 'lng': 103.9435588}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3388429, 'lng': 103.9513808}, 'southwest': {'lat': 1.3318561, 'lng': 103.9361518}}}, 'place_id': 'ChIJkQh_rzA92jERLRh4kuDIAWM', 'types': ['route']}",1.3349612,103.9435588,1.3349612%2C103.9435588,"[None, None]"
